"‘ You know , the panda who keeps an eye on my drinking habits . ’",1
But I will also be keeping an eye on you . ’,1
"‘ I will keep an eye on him , ’ reassured Jack .",1
"Moreover , international operations director Richard Ferry claims that the Bracknell , Berkshire-based company 's services are unique — although most rivals can offer centralised expertise , he says , no-one else can monitor computer systems remotely , or keep an eye on such critical issues as temperature and air conditioning levels at any given customer site .",1
"Once Duncan had managed to fire off a report and stop his watch-replacement from stumbling on the terrorists , he had settled down to keep an eye on the gang .",1
So we must keep an eye on Bruno Casanova . ’,1
"Keep it in the quarantine tank , cease medication and keep an eye on it for the next few months .",1
"‘ As you can see from the state of this place , I have someone call in regularly to keep an eye on it .",1
Mary organized the plates and kept an eye on his carving .,1
"Keep an eye on your local press for details , or phone the Events Unit on during working hours , Monday to Friday , for further information .",1
"Much of the owner-occupation sector represents a recent addition to national wealth ; from 26.6 per cent in 1957 to 36.5 per cent of all wealth by 1985 — a 37 per cent increase in thirty years ( Sam Brittan , ‘ Keeping an eye on the national wealth ’ , Financial Times , 16 July 1987 ) , and this wealth has been much more equitably spread than has industrial wealth .",1
"She came to see me a year later , total loss of weight , total short of breath , hardly , she 's struggling to keep body and soul together .",1
"Struggling peasants they 'd be for the most part , trying to keep body and soul together in difficult times .",1
"I will take some Bovril up for 'er too , and some sausage rolls , we all 'ave to keep body an' soul together .",1
"Their education , he said , was irrelevant to their duties , their poverty such that they had to spend most of their time keeping body and soul together .",1
"Nails , getting the taste of it , stopped being terrified and began to keep his eyes open long enough to judge the thoroughbred 's stride as he approached a jump and to know when he was going to stand off and when he was going to put a quick one in .",1
"I felt a sense of achievement , but vertigo too , and sat on a great red dais in the middle of the gallery and tried to keep my eyes open .",0
"Keep her eyes open , that 's all I said , no harm in that , is it ?",1
"Two new books , Quotable Sex and Quotable Women by Carole McKenzie ( Mainstream , £7.99 ) , both have hundreds of incisive comments from the quick brains of the famous and little-known : ‘ Men should keep their eyes wide open before marriage , and half-shut afterwards ’ — Madeleine de Scudery ( 1607–1701 ) French author .",1
"You keep your eyes open , see if you can see her .",1
"Keep your eyes open for a Window drawing program called Visio from US company , Shapeware .",1
